[2025-10-18T21:22:45.148+0000] {subprocess.py:93} INFO - [OK] 64 rows for 'project' @ France (france)
[2025-10-18T21:22:45.418+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'project' @ France (canada)
[2025-10-18T21:22:45.838+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'project' @ Remote (france)
[2025-10-18T21:22:47.222+0000] {subprocess.py:93} INFO - [OK] 26 rows for 'project' @ Remote (canada)
[2025-10-18T21:22:48.148+0000] {subprocess.py:93} INFO - [OK] 30 rows for 'project' @ Paris (france)
[2025-10-18T21:22:52.208+0000] {subprocess.py:93} INFO - [OK] 122 rows for 'project' @ Paris (canada)
[2025-10-18T21:22:53.129+0000] {subprocess.py:93} INFO - [OK] 9 rows for 'project' @ Lyon (france)
[2025-10-18T21:22:53.485+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'project' @ Lyon (canada)
[2025-10-18T21:22:53.537+0000] {subprocess.py:93} INFO - [BATCH DEDUP] 2977 → 1492 unique
[2025-10-18T21:22:54.339+0000] {subprocess.py:93} INFO - [APPEND] +1492 rows → /workspace/datalake/raw/jobs/jobspy_all.jsonl
[2025-10-18T21:22:54.613+0000] {subprocess.py:97} INFO - Command exited with return code 0
[2025-10-18T21:22:54.617+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2025-10-18T21:22:54.694+0000] {taskinstance.py:1206} INFO - Marking task as SUCCESS. dag_id=jobs_jobspy_daily, task_id=collect_jobspy, run_id=manual__2025-10-18T21:20:26.754339+00:00, execution_date=20251018T212026, start_date=20251018T212029, end_date=20251018T212254
[2025-10-18T21:22:54.757+0000] {local_task_job_runner.py:243} INFO - Task exited with return code 0
[2025-10-18T21:22:54.839+0000] {taskinstance.py:3503} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2025-10-18T21:22:54.842+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
